model,parameter_count,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,seed_count,seeds,validation_loss_mean,validation_loss_std,validation_loss_min,validation_loss_max,greedy_exact_match_mean,greedy_exact_match_std,greedy_exact_match_min,greedy_exact_match_max,final_train_loss_mean,final_train_loss_std,final_train_loss_min,final_train_loss_max,final_answer_token_accuracy_mean,final_answer_token_accuracy_std,final_answer_token_accuracy_min,final_answer_token_accuracy_max,compilation_seconds_mean,compilation_seconds_std,compilation_seconds_min,compilation_seconds_max,steady_state_training_seconds_mean,steady_state_training_seconds_std,steady_state_training_seconds_min,steady_state_training_seconds_max,total_training_seconds_mean,total_training_seconds_std,total_training_seconds_min,total_training_seconds_max
dense_2p16m,2164608,175,358400,5376000,1433600,1.792,69821595648000,3,"42,123,2026",0.0523379348218441,0.02624308055831449,0.03358155712485313,0.08232796490192414,0.9826666666666667,0.02873296596826255,0.9495,1.0,0.04583224033315977,0.02105389772024643,0.03068559244275093,0.06987374275922775,0.9971516927083334,0.004828082762433657,0.9915771484375,1.0,7.739150644000195,0.7141340959261779,7.299108684000203,8.563125109000339,24.78899837666601,1.0410922177357587,23.586881096997786,25.39770817799763,48.274844566999946,1.4065674132707207,46.814931975000036,49.62118005299999
dense_2p16m,2164608,250,512000,7680000,2048000,2.56,99745136640000,3,"42,123,2026",0.007752081938087939,0.0010111657915928172,0.0065929671749472615,0.008453278057277202,0.99985,0.000259807621135303,0.99955,1.0,0.007126116504271825,0.0008761971838726779,0.006119732744991779,0.007719393353909254,1.0,0.0,1.0,1.0,7.8800513793335085,0.908460528939048,7.338386703000197,8.928861909000261,35.437082469000416,0.31936789204821286,35.06939100499994,35.64538409900524,59.6722271723332,1.1069121033384905,58.72443605599983,60.88876894799978
dense_2p16m,2164608,400,819200,12288000,3276800,4.096,159592218624000,3,"42,123,2026",0.0021784609028448663,0.0003304782060073375,0.00198413273319602,0.002560042403638363,1.0,0.0,1.0,1.0,0.0020280694977069893,0.00030884857119069237,0.0018478231504559517,0.0023846901021897793,1.0,0.0,1.0,1.0,8.106957944666798,0.3577819084700556,7.711648843000148,8.408564069000022,55.692057069664315,0.6494841696467402,55.14239183399559,56.408738963999895,81.99417409833359,0.16973607835813545,81.80752867000001,82.13929400699999
dense_2p16m,2164608,750,1536000,23040000,6144000,7.68,299235409920000,3,"42,123,2026",0.00038079516380093995,0.00010366489330821839,0.0002948210632894188,0.0004959123092703521,1.0,0.0,1.0,1.0,0.0003537135198712349,9.472573791725391e-05,0.0002744914381764829,0.000458638125564903,1.0,0.0,1.0,1.0,7.88402487,0.4510799341119473,7.462208886000099,8.359558189000381,100.51598235500342,0.5394998796290754,100.04372883499718,101.10395081201113,131.8551156793334,0.2478075141393779,131.58694464300015,132.07564068800002
dense_5p12m,5123584,50,102400,1536000,409600,0.512,47218950144000,3,"42,123,2026",1.7111850182215373,0.002834867595678041,1.707922673225403,1.7130492210388184,0.0018333333333333333,0.0005965176722724427,0.00115,0.00225,1.542644739151001,0.0033145551302382606,1.5388199090957642,1.544676661491394,0.4189046223958333,0.004528682463638366,0.4149169921875,0.423828125,9.920041910666441,0.7570819048116726,9.0728316299992,10.530326095999953,13.504465094331863,0.12600745506241984,13.385763012996904,13.636687532998621,42.29430926899992,1.8290709095287325,40.866852291000214,44.35610130399982
dense_5p12m,5123584,75,153600,2304000,614400,0.768,70828425216000,3,"42,123,2026",1.1959376017252603,0.3030462906115427,0.891770601272583,1.4978506088256835,0.07476666666666666,0.08061377570448697,0.0106,0.16525,1.0695552428563435,0.25572861657737617,0.8097060918807983,1.3209538459777832,0.5942789713541666,0.10488456663041788,0.5015869140625,0.7081298828125,10.220082373666628,0.1421016370224806,10.110128028999497,10.380536590000702,20.981808567000673,0.25182798428515424,20.795464511003047,21.268304812998394,50.07150227699973,1.1000911655488261,49.12492699199993,51.278409026999725
dense_5p12m,5123584,100,204800,3072000,819200,1.024,94437900288000,3,"42,123,2026",0.450613268216451,0.08404491410808053,0.3915008187294006,0.5468240976333618,0.5566333333333334,0.13743211354459092,0.40505,0.6731,0.4018908143043518,0.0713969814426801,0.35533493757247925,0.48409193754196167,0.8891194661458334,0.03762862346263992,0.847900390625,0.921630859375,10.411067985666705,0.2631742420522593,10.174122292999527,10.694323221000559,27.971814986002148,0.3260559772357671,27.64012892700339,28.29193299399958,58.47351357633337,1.1464608065561404,57.162080256999616,59.28568907299996
dense_5p12m,5123584,125,256000,3840000,1024000,1.28,118047375360000,3,"42,123,2026",0.16983589107791583,0.15491741739615852,0.04307885244488716,0.34252541661262514,0.8374,0.20243589726133063,0.61025,0.99875,0.1494877984126409,0.1322620009340286,0.03933554142713547,0.29617777466773987,0.9624837239583334,0.04712931205320806,0.9095458984375,0.9998779296875,10.979273566666658,0.25591456408309393,10.687956888000372,11.167864512000051,35.34577632099869,0.3803806053323348,34.90867910299494,35.60172708800019,72.88734825166678,10.795589434563581,66.62038397800006,85.35295878099987
dense_5p12m,5123584,175,358400,5376000,1433600,1.792,165266325504000,3,"42,123,2026",0.00894159267966946,0.0029952784139027576,0.006035412568598986,0.012018653377890588,0.9999833333333333,2.8867513459478108e-05,0.99995,1.0,0.008315837010741234,0.002775900117470031,0.005605870857834816,0.01115327887237072,0.9999593098958334,7.047732778193673e-05,0.9998779296875,1.0,9.771139843999967,0.5826910578799736,9.09833446399989,10.112886634999995,48.15103180066611,0.3785711655173601,47.754283039002985,48.50833680299729,77.97776319366676,1.7690991297060343,75.94734938700003,79.1873320300001
dense_5p12m,5123584,250,512000,7680000,2048000,2.56,236094750720000,3,"42,123,2026",0.0032612266950309277,0.0007322779384162411,0.0024197286926209926,0.0037536821328103542,0.9999833333333333,2.8867513459478108e-05,0.99995,1.0,0.0030334477002422013,0.000642541399987244,0.0023009860888123512,0.0035020720679312944,1.0,0.0,1.0,1.0,9.93963989466647,0.4024778859000535,9.511508595000123,10.310281856000074,67.42259483000362,0.4154397198134856,66.96131577799406,67.767279908011,98.42858655166674,1.344301657789622,96.87636923000082,99.21532474099968
