run_id,model,parameter_count,seed,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,validation_loss,greedy_exact_match,final_train_loss,final_answer_token_accuracy,compilation_seconds,steady_state_training_seconds,total_training_seconds,backend,jax_version,git_commit
dense_0p64m_s0100_seed123,dense_0p64m,643840,123,100,204800,3072000,819200,1.024,11867258880000,1.3309651613235474,0.04895,1.195461392402649,0.604736328125,6.4199153280001156,5.1130786180006,22.257122352999886,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0100_seed2026,dense_0p64m,643840,2026,100,204800,3072000,819200,1.024,11867258880000,1.388673448562622,0.01525,1.2727441787719727,0.5133056640625,6.887042964000102,4.86808053300183,22.580893981999907,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0125_seed42,dense_0p64m,643840,42,125,256000,3840000,1024000,1.28,14834073600000,0.6973032832145691,0.41535,0.6386071443557739,0.83837890625,8.325544895999883,6.1152521179990345,26.568867855000008,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0125_seed123,dense_0p64m,643840,123,125,256000,3840000,1024000,1.28,14834073600000,0.7463503241539001,0.39195,0.6911522150039673,0.81298828125,6.448757932000262,6.19009817399774,23.944120510000175,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0125_seed2026,dense_0p64m,643840,2026,125,256000,3840000,1024000,1.28,14834073600000,0.6519382357597351,0.4516,0.6103943586349487,0.84716796875,6.340958949999731,5.993072818999281,22.984104082000158,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0175_seed42,dense_0p64m,643840,42,175,358400,5376000,1433600,1.792,20767703040000,0.330415403842926,0.7661,0.29650288820266724,0.9471435546875,7.407530828999825,8.489703787001645,28.007376830000112,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0175_seed123,dense_0p64m,643840,123,175,358400,5376000,1433600,1.792,20767703040000,0.3440829038619995,0.78185,0.3201792240142822,0.947021484375,7.270152285999757,8.46935518400096,28.248894735999784,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0175_seed2026,dense_0p64m,643840,2026,175,358400,5376000,1433600,1.792,20767703040000,0.2610136210918427,0.88565,0.23487141728401184,0.9739990234375,6.333311843000047,8.30416850599795,26.599409724999987,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0250_seed42,dense_0p64m,643840,42,250,512000,7680000,2048000,2.56,29668147200000,0.12310148626565934,0.98505,0.1111035943031311,0.997314453125,6.8125396119999095,12.352233571998568,32.34861088599973,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0250_seed123,dense_0p64m,643840,123,250,512000,7680000,2048000,2.56,29668147200000,0.1283310353755951,0.95345,0.11647249758243561,0.9874267578125,7.054911130000164,12.222463165997397,32.2217883620001,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
